Portrait,Name,Reign,Succession,Life details,Period,Epoch
,Theodosius II,"1 May 408 – 28 July 450 (42 years, 2 months and 27 days; East)",Son of Arcadius; co-emperor since 10 January 402. Emperor in the east,10 April 401 – 28 July 450 (aged 49)Died of a fall from his horse[151],Theodosian dynasty (379-457),Dominate (284-476)
,,,,,Theodosian dynasty (379-457),Dominate (284-476)
,Priscus Attalus (#),Late 409 – summer 410 (less than a year; Italy),"A leading member of the Senate, proclaimed emperor by Alaric after the Sack of Rome. Emperor in the west",Unknown lifespanDeposed by Alaric after reconciling with Honorius. Tried to claim the throne again 414–415  but was defeated and forced into exile; fate unknown[152],Theodosian dynasty (379-457),Dominate (284-476)
,,,,,Theodosian dynasty (379-457),Dominate (284-476)
,Constantius III,8 February – 2 September 421 (6 months and 25 days; West),"Prominent general under Honorius and husband of Galla Placidia, a daughter of Theodosius I. Made co-emperor by Honorius. Emperor in the west",Unknown – 2 September 421De facto ruler since 411; helped Honorius defeat numerous usurpers & foreign enemies. Died of illness[153],Theodosian dynasty (379-457),Dominate (284-476)
,,,,,Theodosian dynasty (379-457),Dominate (284-476)
,Johannes (#),20 November 423 – c. May 425 (1 year and a half; West),"Senior civil servant, seized power in Rome and the west after Theodosius II delayed in nominating a successor of Honorius","Unknown – c. May 425Captured by the forces of Theodosius II, brought to Constantinople and executed[154]",Theodosian dynasty (379-457),Dominate (284-476)
,,,,,Theodosian dynasty (379-457),Dominate (284-476)
,Valentinian III Placidus Valentinianus,"23 October 425 – 16 March 455 (29 years, 4 months and 21 days; West)","Son of Constantius III, grandson of Theodosius I and great-grandson of Valentinian I, installed as emperor of the west by Theodosius II","2 July 419 – 16 March 455 (aged 35)Faced the invasion of the Huns. Murdered by Optelas and Thraustelas, retainers of Aetius[155]",Theodosian dynasty (379-457),Dominate (284-476)
,Marcian Marcianus,"25 August 450 – 27 January 457 (6 years, 5 months and 2 days; East)","Soldier and official, proclaimed emperor after marrying Pulcheria, a daughter of Arcadius. Emperor in the east",391/392 – 27 January 457 (aged 65)Died after a prolonged period of illness[156],Theodosian dynasty (379-457),Dominate (284-476)
,Petronius Maximus,17 March – 31 May 455 (2 months and 14 days),"General and civil official, murdered Valentinian III and married his widow, Licinia Eudoxia",Unknown – 31 May 455Killed by a mob while fleeing during the Vandalic sack of Rome[157],Last western emperors (455-476),Dominate (284-476)
,Avitus Eparchius Avitus,"9 July 455 – 17 October 456 (1 year, 3 months and 8 days)",General; proclaimed emperor by the Visigoths and Gallo-Romans after the death of Petronius Maximus,"Unknown – 456/457Defeated and deposed by the magister militum Ricimer, became a bishop. Died shortly after of either natural causes, strangulation, or being starved to death[158]",Last western emperors (455-476),Dominate (284-476)
,Majorian Iulius Valerius Maiorianus,"1 April 457 – 2 August 461 (4 years, 4 months and 1 day)","General; proclaimed by the army, backed by Ricimer","Unknown – 7 August 461Reconquered Gaul, Hispania and Dalmatia. Deposed and executed by Ricimer[159]",Last western emperors (455-476),Dominate (284-476)
,Libius Severus (Severus III),"19 November 461 – 14 November 465 (3 years, 11 months and 26 days)",Proclaimed emperor by Ricimer,Unknown – 14 November 465Died of natural causes[160],Last western emperors (455-476),Dominate (284-476)
,Anthemius Procopius Anthemius,"12 April 467 – 11 July 472 (5 years, 2 months and 29 days)","General; husband of Marcia Euphemia, a daughter of Marcian. Proclaimed western emperor by Leo I",Unknown – 11 July 472The last effective emperor of the West. Murdered by Gundobad after a civil war with Ricimer[161],Last western emperors (455-476),Dominate (284-476)
,Olybrius Anicius Olybrius,c. April – 2 November 472 (c. 7 months),"Husband of Placidia, a daughter of Valentinian III. Proclaimed emperor by Ricimer",Unknown – 2 November 472Died of dropsy[162],Last western emperors (455-476),Dominate (284-476)
,Glycerius,"3/5 March 473 – 24 June 474 (1 year, 3 months and 19/21 days)",General; proclaimed emperor by Gundobad,"Unknown lifespanDeposed by Julius Nepos and made a bishop, subsequent fate unknown[163]",Last western emperors (455-476),Dominate (284-476)
,Julius Nepos,"24 June 474 – 28 August 475 (1 year, 2 months and 4 days) August 475 – 9 May 480 (4 years and 8 months, in Dalmatia)","General; married to a relative of Verina, the wife of the eastern emperor Leo I. Installed as western emperor by Leo",Unknown – 9 May 480Fled to Dalmatia in the face of an attack by his magister militum Orestes. Continued to claim to be emperor in exile. Murdered by his retainers[164],Last western emperors (455-476),Dominate (284-476)
,"Romulus ""Augustulus"" Romulus Augustus",31 October 475 – 4 September 476 (10 months and 4 days),"Proclaimed emperor by his father, the magister militum Orestes",Roughly 465 – after 507/511?The last western emperor. Deposed by the Germanic general Odoacer and retired. Possibly alive as late as 507 or 511; fate unknown[165],Last western emperors (455-476),Dominate (284-476)
