Common Name,Full Name,Certainty Begin First Reign,Era Begin First Reign,Begin First Reign,Certainty End First Reign,End First Reign,Days of First Reign,Years of First Reign,Certainty Begin Second Reign,Begin Second Reign,Certainty End Second Reign,End Second Reign,Days of Second Reign,Years of Second Reign,Part of Empire,Period,Epoch,Legitimacy,Status as Emperor,Succession 1,Succession 2,Succession 3,Certainty Birth,Era Birth,Date of Birth,Certainty Death,Date of Death,Age,Life details 1,Life details 2,Life details 3,Life details 4
Maximinus II Daza,Galerius Valerius Maximinus,certain,AD,0310-??-??,certain,0313-07-??,1095,3.0,certain,No second reign,certain,No second reign,0,0.0,East,Tetrarchy (284-324),Dominate (284-476),strong,canonical,"Nephew of Galerius, elevated to caesar by Diocletian in 305, and acclaimed as augustus by his troops in 310",No information,No information,approximate,AD,0270-11-20 ,approximate,0313-07-??,42,"Defeated in civil war against Licinius, died shortly afterwards",No information,No information,No information
Valerius Valens,Aurelius Valerius Valens,certain,AD,0316-10-??,certain,0317-01-??,0,0.0,certain,No second reign,certain,No second reign,0,0.0,West,Tetrarchy (284-324),Dominate (284-476),weak,canonical,"Frontier commander in Dacia, elevated by Licinius in opposition to Constantine I",No information,No information,certain,AD,????-??-??,certain,0317-??-??,Unknown,Executed in the lead-up to a peace settlement between Licinius and Constantine,No information,No information,No information
Martinian,Mar. Martinianus,certain,AD,0324-07-??,certain,0324-09-19 ,60,0.16,certain,No second reign,certain,No second reign,0,0.0,West,Tetrarchy (284-324),Dominate (284-476),weak,canonical,"A senior bureaucrat, elevated by Licinius in opposition to Constantine I",No information,No information,certain,AD,????-??-??,certain,0325-??-??,Unknown,"Deposed by Constantine and banished to Cappadocia, later executed",No information,No information,No information
Constantine I the Great,Flavius Valerius Constantinus,certain,AD,0306-07-25 ,certain,0337-05-22 ,11247,30.81,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Constantinian dynasty (306-363),Dominate (284-476),strong,canonical,"Son of Constantius I, acclaimed by his father's troops as augustus","Accepted as caesar by Galerius in 306, promoted to augustus in 307 by Maximian, refused demotion to caesar in 309",No information,certain,AD,????-02-27 ,certain,0337-05-22 ,65,First Christian emperor and founder of Constantinople,Sole ruler of the Empire after defeating Maxentius in 312 and Licinius in 324,Died of natural causes,No information
Constantine II,Flavius Claudius Constantinus,certain,AD,0337-09-09 ,certain,0340-04-??,940,2.58,certain,No second reign,certain,No second reign,0,0.0,West,Constantinian dynasty (306-363),Dominate (284-476),strong,canonical,Son of Constantine I,No information,No information,approximate,AD,0316-02-??,certain,0340-04-??,24,Ruled the praetorian prefecture of Gaul,"Killed in an ambush during a war against his brother, Constans I",No information,No information
Constans,I Flavius Julius Constans,certain,AD,0337-09-09 ,certain,0350-01-??,4500,12.33,certain,No second reign,certain,No second reign,0,0.0,West,Constantinian dynasty (306-363),Dominate (284-476),strong,canonical,Son of Constantine I,No information,No information,certain,AD,????-??-??,certain,0350-01-??,27,"Ruled Italy, Illyricum and Africa initially, then the western empire after Constantine II's death",Overthrown and killed by Magnentius,No information,No information
Constantius II,Flavius Julius Constantius,certain,AD,0337-09-09 ,certain,0361-11-03 ,8815,24.15,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Constantinian dynasty (306-363),Dominate (284-476),strong,canonical,Son of Constantine I,No information,No information,certain,AD,0317-08-07 ,certain,0361-11-03 ,44,"Ruled the east initially, then the whole empire after the death of Magnentius",Died of a fever shortly after starting a war againts Julian,No information,No information
Magnentius,Magnus Magnentius,certain,AD,0350-01-18 ,certain,0353-08-10 ,1298,3.56,certain,No second reign,certain,No second reign,0,0.0,West,Constantinian dynasty (306-363),Dominate (284-476),weak,canonical,"Proclaimed emperor by the troops, in opposition to Constans I",No information,No information,approximate,AD,0303-??-??,certain,0353-08-10 ,50,Committed suicide after losing the Battle of Mons Seleucus,No information,No information,No information
Nepotianus,Julius Nepotianus,certain,AD,0350-06-03 ,certain,0350-06-30 ,27,0.07,certain,No second reign,certain,No second reign,0,0.0,West,Constantinian dynasty (306-363),Dominate (284-476),weak,canonical,"Son of Eutropia, a daughter of Constantius I",Proclaimed emperor in Rome in opposition to Magnentius,No information,certain,AD,????-??-??,certain,0350-06-30 ,Unknown,Captured and executed by supporters of Magnentius,No information,No information,No information
Vetranio,Vetranio,certain,AD,0350-03-01 ,certain,0350-12-25 ,294,0.81,certain,No second reign,certain,No second reign,0,0.0,West,Constantinian dynasty (306-363),Dominate (284-476),weak,canonical,"General of Constans in Illyricum, acclaimed by the Illyrian legions at the expense of Magnentius",No information,No information,certain,AD,????-??-??,approximate,0356-??-??,Unknown,"Abdicated in Constantius II's favor, retired, and died 6 years later",No information,No information,No information
Julian the Apostate,Flavius Claudius Julianus,certain,AD,0361-11-03 ,certain,0363-06-26 ,598,1.64,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Constantinian dynasty (306-363),Dominate (284-476),strong,canonical,"Cousin and heir of Constantius II, acclaimed by the Gallic army around February 360",Entered Constantinople on 11 December 361,No information,certain,AD,0331-??-??,certain,0363-06-26 ,32,Last non-Christian emperor,Mortally wounded during a campaign against Persia,No information,No information
Jovian,Jovianus,certain,AD,0363-06-27 ,certain,0364-02-17 ,231,0.63,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Constantinian dynasty (306-363),Dominate (284-476),strong,canonical,Commander of imperial household guard,Acclaimed by the army after Julian's death,No information,certain,AD,????-??-??,certain,0364-02-17 ,33,Possibly died of inhaling toxic fumes or indigestion,No information,No information,No information
Valentinian I the Great,Valentinianus,certain,AD,0364-02-??,certain,0375-11-17 ,4278,11.72,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Valentinianic dynasty (364-392),Dominate (284-476),strong,canonical,General,Proclaimed emperor by the army after Jovian's death,No information,certain,AD,0321-??-??,certain,0375-11-17 ,54,Last emperor to cross the Rhine into Germania,Died of a stroke while yelling at envoys,No information,No information
Valens,Valens,certain,AD,0364-03-28 ,certain,0378-08-09 ,5242,14.36,certain,No second reign,certain,No second reign,0,0.0,East,Valentinianic dynasty (364-392),Dominate (284-476),strong,canonical,"Brother of Valentinian I, made eastern emperor by his brother (Valentinian retaining the west)",No information,No information,approximate,AD,0328-??-??,certain,0378-08-09 ,50,Killed at the Battle of Adrianople,No information,No information,No information
Procopius,Procopius,certain,AD,0365-09-28 ,certain,0366-05-27 ,239,0.65,certain,No second reign,certain,No second reign,0,0.0,East,Valentinianic dynasty (364-392),Dominate (284-476),weak,canonical,Maternal cousin and intended heir of Julian,"Revolted against Valens and captured Constantinople, where the people proclaimed him emperor",No information,certain,AD,0326-??-??,certain,0366-05-??,40,"Deposed, captured and executed by Valens",No information,No information,No information
Gratian,Gratianus,certain,AD,0375-11-17 ,certain,0383-08-25 ,2833,7.76,certain,No second reign,certain,No second reign,0,0.0,West,Valentinianic dynasty (364-392),Dominate (284-476),strong,canonical,Son of Valentinian I,"Proclaimed western co-emperor on 24 August 367, at age 8",Emperor in his own right after Valentinian's death,certain,AD,0359-04-18 ,certain,0383-08-25 ,24,"Killed by Andragathius, an officer of Magnus Maximus",No information,No information,No information
Magnus Maximus,Magnus Maximus,certain,AD,0383-08-25 ,certain,0388-08-28 ,1828,5.01,certain,No second reign,certain,No second reign,0,0.0,West,Valentinianic dynasty (364-392),Dominate (284-476),weak,canonical,"General, related to Theodosius I",Proclaimed emperor by the troops in Britain,Briefly recognized by Theodosius I and Valentinian II,certain,AD,????-??-??,certain,0388-08-28 ,Unknown,"Defeated by Theodosius I at the Battle of Save, executed after surrendering",No information,No information,No information
Valentinian II,Valentinianus,certain,AD,0388-08-28 ,certain,0392-05-15 ,1352,3.7,certain,No second reign,certain,No second reign,0,0.0,West,Valentinianic dynasty (364-392),Dominate (284-476),strong,canonical,"Son of Valentinian I, proclaimed co-emperor on 22 November 375, at age 4",Sole western ruler after the defeat of Magnus Maximus in 388,No information,certain,AD,0371-??-??,certain,0392-05-15 ,21,Dominated by regents and co-emperors his entire reign,"Probably suicide, possibly killed by Arbogast",No information,No information
Eugenius,Eugenius,certain,AD,0392-08-22 ,certain,0394-09-06 ,745,2.04,certain,No second reign,certain,No second reign,0,0.0,West,Valentinianic dynasty (364-392),Dominate (284-476),weak,canonical,"Teacher of Latin grammar and rhetoric, secretary of Valentinian II",Proclaimed emperor by Arbogast,No information,certain,AD,????-??-??,certain,0394-09-06 ,Unknown,Defeated by Theodosius I at the Battle of the Frigidus and executed,No information,No information,No information
Theodosius I the Great,Theodosius I the Great,certain,AD,0379-01-19 ,certain,0395-01-17 ,5834,15.98,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Theodosian dynasty (379-457),Dominate (284-476),strong,canonical,Retired general,Proclaimed eastern emperor by Gratian,Ruler of the entire empire after Valentinian II's death,certain,AD,????-01-11 ,certain,0395-01-17 ,49,Last emperor to briefly rule over the two halves of the Empire after the Battle of the Frigidus,Died of natural causes,No information,No information
Arcadius,Arcadius,certain,AD,0395-01-17 ,certain,0408-05-01 ,4849,13.28,certain,No second reign,certain,No second reign,0,0.0,East,Theodosian dynasty (379-457),Dominate (284-476),strong,canonical,Son of Theodosius I,Co-emperor since 16 January 383,Emperor in the east,certain,AD,0377-??-??,certain,0408-05-01 ,31,Died of natural causes,No information,No information,No information
Honorius,Honorius,certain,AD,0395-01-17 ,certain,0423-08-15 ,10429,28.57,certain,No second reign,certain,No second reign,0,0.0,West,Theodosian dynasty (379-457),Dominate (284-476),strong,canonical,Son of Theodosius I,Co-emperor since 23 January 393,Emperor in the west,certain,AD,0384-09-09 ,certain,0423-08-15 ,38,Reigned under several successive regencies,Died of edema,No information,No information
Constantine III,Flavius Claudius Constantinus,certain,AD,0407-??-??,certain,0411-??-??,1460,4.0,certain,No second reign,certain,No second reign,0,0.0,West,Theodosian dynasty (379-457),Dominate (284-476),weak,canonical,"Common soldier, proclaimed emperor by the troops in Britain",Recognized by Honorius in 409,Emperor in the west,certain,AD,????-??-??,certain,0411-??-??,Unknown,"Surrendered to Constantius, a general of Honorius, and abdicated",Sent to Italy but murdered on the way,No information,No information
Theodosius II,Theodosius II,certain,AD,0408-05-01 ,certain,0450-07-28 ,15417,42.24,certain,No second reign,certain,No second reign,0,0.0,East,Theodosian dynasty (379-457),Dominate (284-476),strong,canonical,Son of Arcadius,Co-emperor since 10 January 402,Emperor in the east,certain,AD,0401-04-10 ,certain,0450-07-28 ,49,Died of a fall from his horse,No information,No information,No information
Priscus Attalus,Priscus Attalus,certain,AD,0409-??-??,certain,0410-??-??,365,1.0,certain,No second reign,certain,No second reign,0,0.0,Italy,Theodosian dynasty (379-457),Dominate (284-476),weak,canonical,"A leading member of the Senate, proclaimed emperor by Alaric after the Sack of Rome",Emperor in the west,No information,certain,AD,????-??-??,certain,????-??-??,Unknown,Deposed by Alaric after reconciling with Honorius,Tried to claim the throne again 414-415  but was defeated and forced into exile,Fate unknown,No information
Constantius III,Constantius III,certain,AD,0421-02-08 ,certain,0421-09-02 ,205,0.56,certain,No second reign,certain,No second reign,0,0.0,West,Theodosian dynasty (379-457),Dominate (284-476),strong,canonical,"Prominent general under Honorius and husband of Galla Placidia, a daughter of Theodosius I",Made co-emperor by Honorius,Emperor in the west,certain,AD,????-??-??,certain,0421-09-02 ,Unknown,De facto ruler since 411,Helped Honorius defeat numerous usurpers & foreign enemies,Died of illness,No information
Johannes,Johannes,certain,AD,0423-11-20 ,certain,0425-05-??,365,1.0,certain,No second reign,certain,No second reign,0,0.0,West,Theodosian dynasty (379-457),Dominate (284-476),weak,canonical,"Senior civil servant, seized power in Rome and the west after Theodosius II delayed in nominating a successor of Honorius",No information,No information,certain,AD,????-??-??,approximate,0425-05-??,Unknown,"Captured by the forces of Theodosius II, brought to Constantinople and executed",No information,No information,No information
Valentinian III,Placidus Valentinianus,certain,AD,0425-10-23 ,certain,0455-03-16 ,10726,29.39,certain,No second reign,certain,No second reign,0,0.0,West,Theodosian dynasty (379-457),Dominate (284-476),strong,canonical,"Son of Constantius III, grandson of Theodosius I and great-grandson of Valentinian I, installed as emperor of the west by Theodosius II",No information,No information,certain,AD,0419-07-02 ,certain,0455-03-16 ,35,Faced the invasion of the Huns,"Murdered by Optelas and Thraustelas, retainers of Aetius",No information,No information
Marcian,Marcianus,certain,AD,0450-08-25 ,certain,0457-01-27 ,2342,6.42,certain,No second reign,certain,No second reign,0,0.0,East,Theodosian dynasty (379-457),Dominate (284-476),strong,canonical,"Soldier and official, proclaimed emperor after marrying Pulcheria, a daughter of Arcadius",Emperor in the east,No information,certain,AD,????-??-??,certain,0457-01-27 ,65,Died after a prolonged period of illness,No information,No information,No information
Petronius Maximus,Petronius Maximus,certain,AD,0455-03-17 ,certain,0455-05-31 ,74,0.2,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,"General and civil official, murdered Valentinian III and married his widow, Licinia Eudoxia",No information,No information,certain,AD,????-??-??,certain,0455-05-31 ,Unknown,Killed by a mob while fleeing during the Vandalic sack of Rome,No information,No information,No information
Avitus,Eparchius Avitus,certain,AD,0455-07-09 ,certain,0456-10-17 ,463,1.27,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,General,Proclaimed emperor by the Visigoths and Gallo-Romans after the death of Petronius Maximus,No information,certain,AD,????-??-??,certain,????-??-??,Unknown,"Defeated and deposed by the magister militum Ricimer, became a bishop","Died shortly after of either natural causes, strangulation, or being starved to death",No information,No information
Majorian,Iulius Valerius Maiorianus,certain,AD,0457-04-01 ,certain,0461-08-02 ,1581,4.33,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,General,"Proclaimed by the army, backed by Ricimer",No information,certain,AD,????-??-??,certain,0461-08-07 ,Unknown,"Reconquered Gaul, Hispania and Dalmatia",Deposed and executed by Ricimer,No information,No information
Libius Severus,Severus III,certain,AD,0461-11-19 ,certain,0465-11-14 ,1451,3.98,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,Proclaimed emperor by Ricimer,No information,No information,certain,AD,????-??-??,certain,0465-11-14 ,Unknown,Died of natural causes,No information,No information,No information
Anthemius,Procopius Anthemius,certain,AD,0467-04-12 ,certain,0472-07-11 ,1914,5.24,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,General,"Husband of Marcia Euphemia, a daughter of Marcian",Proclaimed western emperor by Leo I,certain,AD,????-??-??,certain,0472-07-11 ,Unknown,The last effective emperor of the West,Murdered by Gundobad after a civil war with Ricimer,No information,No information
Olybrius,Anicius Olybrius,certain,AD,0472-04-??,certain,0472-11-02 ,210,0.58,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,"Husband of Placidia, a daughter of Valentinian III",Proclaimed emperor by Ricimer,No information,certain,AD,????-??-??,certain,0472-11-02 ,Unknown,Died of dropsy,No information,No information,No information
Glycerius,Glycerius,certain,AD,0473-03-??,certain,0474-06-24 ,455,1.25,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,General,Proclaimed emperor by Gundobad,No information,certain,AD,????-??-??,certain,????-??-??,Unknown,"Deposed by Julius Nepos and made a bishop, subsequent fate unknown",No information,No information,No information
Julius Nepos,Julius Nepos,certain,AD,0474-06-24 ,certain,0475-08-28 ,429,1.18,certain,0475-08-??,certain,0480-05-09 ,1700,4.66,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,General,"Married to a relative of Verina, the wife of the eastern emperor Leo I",Installed as western emperor by Leo,certain,AD,????-??-??,certain,0480-05-09 ,Unknown,Fled to Dalmatia in the face of an attack by his magister militum Orestes,Continued to claim to be emperor in exile,Murdered by his retainers,No information
Romulus Augustulus,Romulus Augustus,certain,AD,0475-10-31 ,certain,0476-09-04 ,304,0.83,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Last western emperors (455-476),Dominate (284-476),strong,canonical,"Proclaimed emperor by his father, the magister militum Orestes",No information,No information,certain,AD,0465-??-??,certain,????-??-??,Unknown,The last western emperor,Deposed by the Germanic general Odoacer and retired,Possibly alive as late as 507 or 511,Fate unknown
